รายวิชาเพิ่มเติม ม.3  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
อ23285,ภาษาอังกฤษเพื่อการนำเสนอ,1,2,เรียนรู้วิธีการนำเสนออย่างมีประสิทธิภาพ รวมถึงวิธีการพูด การใช้วัจนภาษา และอวัจนภาษา,อ.กนก,1,25,-,✔,✔,,,,,,
,,,,,อ.ใหม่,2,25,,,,,,,,✔,✔
อ23239,ภาษาอังกฤษตามอัธยาศัย 3,0.5,1,"พัฒนาทักษะการฟัง พูด อ่าน เขียนภาษาอังกฤษ และ
การวิเคราะห์ตีความสาร ผ่านการใช้ภาษาในชีวิตประจำวันตามความสนใจของผู้เรียน",อ.นวล,1,35,-,,,,,,,,✔
,,,,,อ.นวล,2,35,,,✔,,,,,,
จ23215,ภาษาจีนน่ารู้ 5,1,2,เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.ดร.ชัญญภัค,1,35,-,✔,✔,,,,,,
ฝ23215,ภาษาฝรั่งเศสน่ารู้ 5,1,2,เข้าใจและสามารถสื่อสารภาษาฝรั่งเศสผ่านทักษะการฟัง พูด อ่าน และเขียน มีความรู้พื้นฐานเกี่ยวกับภาษาฝรั่งเศส รวมทั้งรู้จักวัฒนธรรมฝรั่งเศส และ สามารถนำมาประยุกต์ใช้ในชีวิตประจำวันได้,อ.วิรัชวิชชา,1,35,-,,,,,✔,✔,,
ญ23215,ภาษาญี่ปุ่นน่ารู้ 5,1,2,ศึกษาภาษาและวัฒนธรรมญี่ปุ่น การใช้ภาษาพูดและภาษาเขียน จากการผันรูปกริยา คำนาม และคำคุณศัพท์ต่างๆ การใช้น้ำเสียงสื่อความหมายต่างๆ ครบทั้งทักษะการฟัง พูด อ่าน เขียน เพื่อการเตรียมพร้อมสู่การเรียนในกลุ่มการเรียนรู้ภาษาญี่ปุ่นต่อไป,อ.ทาเคชิ,1,35,-,,,,,,,✔,✔
ก23215,ภาษาเกาหลีน่ารู้ 5,1,2,เสริมสร้างความรู้ภาษาเกาหลี ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาเกาหลี และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับการศึกษาต่อในอนาคต,อ.ใหม่,1,35,-,✔,✔,,,,,,
อ23287,ถอดรหัสซับไตเติ้ล,1,2, ฝึกทักษะการฟังและการพูดภาษาอังกฤษผ่านการรับชมซีรีส์และภาพยนตร์ เช่น Netflix ที่ได้รับความนิยม เรียนรู้การออกเสียงและจังหวะการพูดแบบเจ้าของภาษา,อ.โชติตระการ,1,30,-,,,,,✔,✔,,
ป20215,ภาษาสเปนน่ารู้ 1,1,2,ศึกษาไวยากรณ์ขั้นพื้นฐานของภาษาสเปน หลักการออกเสียงที่ถูกต้อง การอ่านประโยคหรือข้อความสั้น ๆ การสนทนาระดับพื้นฐานในชีวิตประจำวัน,อ.เบญจมาศ,1,8,-,,,,,✔,✔,,
