รายวิชาเพิ่มเติม ม.1  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,จันทร์,พุธ,พุธ,พฤหัสบดี,พฤหัสบดี,ศุกร์,ศุกร์
อ20221,"เสริมทักษะการอ่าน
ภาษาอังกฤษ 1",0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิค
การอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจและการอ่านออกเสียงขั้นพื้นฐาน",อ.อศินา,1,35,-,,,,✔,,,,
,,,,,อ.นวล,2,35,,✔,,,,,,,
,,,,,อ.นวล,3,35,,,,,,,,✔,
อ20211,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 1",0.5,1,พัฒนาทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม (context),อ.ดร.ณัฐมน,1,35,-,,,,,✔,,,
,,,,,อ.ดร.ณัฐมน,2,35,,,,,,,,,✔
,,,,,อ.ดร.ณัฐมน,3,35,,✔,,,,,,,
ฝ20201,ภาษาฝรั่งเศสน่ารู้ 1,1,2,"เสริมสร้างความรู้ภาษาฝรั่งเศส ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ใน
การเรียนภาษาฝรั่งเศส และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับ การศึกษาต่อในอนาคต",อ.วิรัชวิชชา,1,35,-,,,✔,✔,,,,
ย20201,ภาษาเยอรมันน่ารู้ 1,1,2,"เสริมสร้างความรู้ภาษาเยอรมัน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ใน
การเรียนภาษาเยอรมัน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต",อ.ณัฏฐริญา,1,35,-,,,✔,✔,,,,
จ20201,ภาษาจีนน่ารู้ 1,1,2,เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.ถาน,1,35,-,✔,✔,,,,,,
ก20201,ภาษาเกาหลีน่ารู้ 1,1,2,เสริมสร้างความรู้ภาษาเกาหลี ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาเกาหลี และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับ การศึกษาต่อในอนาคต,อ.ใหม่,1,35,-,,,,,,,✔,✔
